id,date,category,cases,deaths,intensive
1,2020-01-25,0-17,127,0,0
2,2020-01-25,18-39,663,3,1
3,2020-01-25,40-64,901,31,4
4,2020-01-25,65+,429,101,3
5,2020-01-26,0-17,128,0,0
6,2020-01-26,18-39,666,3,1
7,2020-01-26,40-64,907,32,3
8,2020-01-26,65+,434,101,3
9,2020-04-04,0-17,21,0,0
10,2020-04-04,18-39,238,1,0
11,2020-04-04,40-64,399,17,28
12,2020-04-04,65+,193,31,44
13,2020-04-05,0-17,24,0,0
14,2020-04-05,18-39,247,1,0
15,2020-04-05,40-64,416,17,31
16,2020-04-05,65+,201,34,43
17,2020-04-06,0-17,23,0,0
18,2020-04-06,18-39,255,1,0
19,2020-04-06,40-64,423,18,30
20,2020-04-06,65+,205,38,43
21,2020-04-07,0-17,23,0,0
22,2020-04-07,18-39,263,1,0
23,2020-04-07,40-64,445,19,27
24,2020-04-07,65+,217,38,45
25,2020-04-08,0-17,24,0,0
26,2020-04-08,18-39,305,1,0
27,2020-04-08,40-64,473,19,23
28,2020-04-08,65+,225,40,44
29,2020-04-09,0-17,25,0,0
30,2020-04-09,18-39,321,1,0
31,2020-04-09,40-64,490,21,21
32,2020-04-09,65+,234,41,43
33,2020-04-10,0-17,31,0,0
34,2020-04-10,18-39,331,1,0
35,2020-04-10,40-64,501,21,24
36,2020-04-10,65+,244,42,40
37,2020-04-11,0-17,31,0,0
38,2020-04-11,18-39,340,1,0
39,2020-04-11,40-64,514,22,22
40,2020-04-11,65+,256,44,39
41,2020-04-13,0-17,31,0,0
42,2020-04-13,18-39,348,1,0
43,2020-04-13,40-64,525,24,17
44,2020-04-13,65+,263,48,40
45,2020-04-14,0-17,33,0,0
46,2020-04-14,18-39,354,1,0
47,2020-04-14,40-64,523,24,19
48,2020-04-14,65+,264,49,41
49,2020-04-15,0-17,35,0,0
50,2020-04-15,18-39,358,1,0
51,2020-04-15,40-64,535,24,20
52,2020-04-15,65+,267,49,37
53,2020-04-16,0-17,35,0,0
54,2020-04-16,18-39,363,1,0
55,2020-04-16,40-64,534,24,20
56,2020-04-16,65+,269,51,36
57,2020-04-17,0-17,34,0,0
58,2020-04-17,18-39,365,1,0
59,2020-04-17,40-64,538,24,20
60,2020-04-17,65+,269,54,35
61,2020-04-18,0-17,34,0,0
62,2020-04-18,18-39,369,1,0
63,2020-04-18,40-64,540,25,18
64,2020-04-18,65+,270,55,34
65,2020-04-20,0-17,34,0,0
66,2020-04-20,18-39,370,1,0
67,2020-04-20,40-64,545,25,16
68,2020-04-20,65+,270,60,30
69,2020-04-21,0-17,35,0,0
70,2020-04-21,18-39,373,2,0
71,2020-04-21,40-64,545,25,16
72,2020-04-21,65+,271,62,27
73,2020-04-22,0-17,35,0,0
74,2020-04-22,18-39,377,2,0
75,2020-04-22,40-64,546,25,16
76,2020-04-22,65+,272,62,24
77,2020-04-23,0-17,35,0,0
78,2020-04-23,18-39,385,2,0
79,2020-04-23,40-64,555,26,17
80,2020-04-23,65+,281,65,20
81,2020-04-24,0-17,36,0,0
82,2020-04-24,18-39,388,2,0
83,2020-04-24,40-64,558,26,15
84,2020-04-24,65+,285,68,21
85,2020-04-25,0-17,37,0,0
86,2020-04-25,18-39,390,2,0
87,2020-04-25,40-64,559,26,13
88,2020-04-25,65+,285,68,21
89,2020-04-26,0-17,38,0,0
90,2020-04-26,18-39,393,2,0
91,2020-04-26,40-64,562,27,13
92,2020-04-26,65+,285,70,20
93,2020-04-27,0-17,40,0,0
94,2020-04-27,18-39,395,2,0
95,2020-04-27,40-64,568,27,13
96,2020-04-27,65+,286,71,19
97,2020-04-28,0-17,42,0,0
98,2020-04-28,18-39,398,2,0
99,2020-04-28,40-64,576,27,12
100,2020-04-28,65+,293,73,16
101,2020-04-29,0-17,42,0,0
102,2020-04-29,18-39,401,2,0
103,2020-04-29,40-64,579,27,12
104,2020-04-29,65+,295,74,17
105,2020-04-30,0-17,42,0,0
106,2020-04-30,18-39,401,2,0
107,2020-04-30,40-64,582,27,11
108,2020-04-30,65+,297,74,17
109,2020-05-01,0-17,44,0,0
110,2020-05-01,18-39,404,2,0
111,2020-05-01,40-64,583,27,12
112,2020-05-01,65+,300,74,16
113,2020-05-02,0-17,44,0,0
114,2020-05-02,18-39,405,2,0
115,2020-05-02,40-64,584,28,11
116,2020-05-02,65+,302,76,18
117,2020-05-03,0-17,44,0,0
118,2020-05-03,18-39,406,2,0
119,2020-05-03,40-64,585,28,11
120,2020-05-03,65+,302,76,18
121,2020-05-04,0-17,45,0,0
122,2020-05-04,18-39,407,2,0
123,2020-05-04,40-64,586,29,10
124,2020-05-04,65+,304,76,17
125,2020-05-05,0-17,47,0,0
126,2020-05-05,18-39,409,2,0
127,2020-05-05,40-64,587,29,9
128,2020-05-05,65+,305,76,18
129,2020-05-06,0-17,47,0,0
130,2020-05-06,18-39,416,2,0
131,2020-05-06,40-64,593,29,9
132,2020-05-06,65+,308,76,19
133,2020-05-07,0-17,47,0,0
134,2020-05-07,18-39,418,2,0
135,2020-05-07,40-64,597,29,9
136,2020-05-07,65+,312,77,16
137,2020-05-08,0-17,47,0,0
138,2020-05-08,18-39,419,2,0
139,2020-05-08,40-64,602,29,9
140,2020-05-08,65+,312,79,14
141,2020-05-09,0-17,47,0,0
142,2020-05-09,18-39,421,2,0
143,2020-05-09,40-64,605,29,8
144,2020-05-09,65+,319,80,11
145,2020-05-10,0-17,47,0,0
146,2020-05-10,18-39,421,2,0
147,2020-05-10,40-64,605,29,8
148,2020-05-10,65+,319,80,12
149,2020-05-11,0-17,47,0,0
150,2020-05-11,18-39,420,2,0
151,2020-05-11,40-64,609,29,8
152,2020-05-11,65+,320,80,12
153,2020-05-12,0-17,47,0,0
154,2020-05-12,18-39,428,2,1
155,2020-05-12,40-64,610,29,8
156,2020-05-12,65+,323,81,12
157,2020-05-13,0-17,49,0,0
158,2020-05-13,18-39,429,2,1
159,2020-05-13,40-64,611,30,6
160,2020-05-13,65+,323,82,11
161,2020-05-14,0-17,49,0,0
162,2020-05-14,18-39,430,2,1
163,2020-05-14,40-64,611,31,4
164,2020-05-14,65+,324,82,9
165,2020-05-15,0-17,55,0,0
166,2020-05-15,18-39,433,3,0
167,2020-05-15,40-64,615,31,4
168,2020-05-15,65+,324,83,9
169,2020-05-16,0-17,56,0,0
170,2020-05-16,18-39,434,3,0
171,2020-05-16,40-64,618,31,4
172,2020-05-16,65+,325,83,9
173,2020-05-17,0-17,60,0,0
174,2020-05-17,18-39,438,3,0
175,2020-05-17,40-64,623,31,4
176,2020-05-17,65+,326,83,9
177,2020-05-18,0-17,60,0,0
178,2020-05-18,18-39,438,3,1
179,2020-05-18,40-64,623,31,4
180,2020-05-18,65+,326,84,10
181,2020-05-19,0-17,60,0,0
182,2020-05-19,18-39,440,3,1
183,2020-05-19,40-64,624,31,2
184,2020-05-19,65+,326,84,10
185,2020-05-20,0-17,64,0,1
186,2020-05-20,18-39,441,3,1
187,2020-05-20,40-64,626,31,2
188,2020-05-20,65+,326,84,10
189,2020-05-21,0-17,70,0,1
190,2020-05-21,18-39,441,3,1
191,2020-05-21,40-64,627,30,2
192,2020-05-21,65+,326,86,9
193,2020-05-22,0-17,74,0,1
194,2020-05-22,18-39,446,3,1
195,2020-05-22,40-64,628,30,3
196,2020-05-22,65+,326,87,8
197,2020-05-23,0-17,74,0,1
198,2020-05-23,18-39,446,3,1
199,2020-05-23,40-64,628,30,3
200,2020-05-23,65+,327,88,8
201,2020-05-24,0-17,75,0,1
202,2020-05-24,18-39,447,3,1
203,2020-05-24,40-64,629,30,4
204,2020-05-24,65+,327,88,7
205,2020-05-25,0-17,75,0,1
206,2020-05-25,18-39,447,3,1
207,2020-05-25,40-64,630,30,4
208,2020-05-25,65+,329,88,7
209,2020-05-26,0-17,77,0,1
210,2020-05-26,18-39,447,3,1
211,2020-05-26,40-64,630,30,4
212,2020-05-26,65+,330,88,8
213,2020-05-27,0-17,79,0,1
214,2020-05-27,18-39,455,3,1
215,2020-05-27,40-64,631,30,4
216,2020-05-27,65+,328,88,7
217,2020-05-28,0-17,79,0,1
218,2020-05-28,18-39,455,3,1
219,2020-05-28,40-64,632,30,4
220,2020-05-28,65+,329,90,6
221,2020-05-29,0-17,79,0,0
222,2020-05-29,18-39,455,3,1
223,2020-05-29,40-64,633,30,4
224,2020-05-29,65+,329,90,6
225,2020-05-30,0-17,79,0,0
226,2020-05-30,18-39,455,3,0
227,2020-05-30,40-64,635,30,3
228,2020-05-30,65+,330,90,7
229,2020-05-31,0-17,79,0,0
230,2020-05-31,18-39,455,3,0
231,2020-05-31,40-64,635,30,3
232,2020-05-31,65+,330,90,6
233,2020-06-01,0-17,78,0,0
234,2020-06-01,18-39,455,3,0
235,2020-06-01,40-64,635,30,3
236,2020-06-01,65+,330,92,6
237,2020-06-02,0-17,78,0,0
238,2020-06-02,18-39,456,3,0
239,2020-06-02,40-64,639,30,3
240,2020-06-02,65+,330,92,5
241,2020-06-04,0-17,78,0,0
242,2020-06-04,18-39,464,3,0
243,2020-06-04,40-64,645,30,3
244,2020-06-04,65+,331,93,4
245,2020-06-08,0-17,80,0,0
246,2020-06-08,18-39,474,3,0
247,2020-06-08,40-64,657,30,3
248,2020-06-08,65+,339,94,3
249,2020-06-09,0-17,82,0,0
250,2020-06-09,18-39,481,3,0
251,2020-06-09,40-64,667,30,3
252,2020-06-09,65+,342,94,3
253,2020-06-10,0-17,83,0,0
254,2020-06-10,18-39,482,3,0
255,2020-06-10,40-64,672,30,3
256,2020-06-10,65+,342,94,4
257,2020-06-11,0-17,83,0,0
258,2020-06-11,18-39,484,3,0
259,2020-06-11,40-64,673,30,3
260,2020-06-11,65+,344,94,5
261,2020-06-12,0-17,84,0,0
262,2020-06-12,18-39,488,3,0
263,2020-06-12,40-64,675,30,3
264,2020-06-12,65+,347,94,6
265,2020-06-13,0-17,84,0,0
266,2020-06-13,18-39,490,3,0
267,2020-06-13,40-64,676,30,3
268,2020-06-13,65+,349,94,6
269,2020-06-14,0-17,85,0,0
270,2020-06-14,18-39,492,3,0
271,2020-06-14,40-64,678,30,3
272,2020-06-14,65+,350,94,6
273,2020-06-15,0-17,87,0,0
274,2020-06-15,18-39,493,3,0
275,2020-06-15,40-64,684,30,4
276,2020-06-15,65+,350,95,5
277,2020-06-16,0-17,87,0,0
278,2020-06-16,18-39,493,3,0
279,2020-06-16,40-64,687,30,4
280,2020-06-16,65+,353,96,4
281,2020-06-17,0-17,88,0,0
282,2020-06-17,18-39,502,3,0
283,2020-06-17,40-64,702,31,3
284,2020-06-17,65+,359,96,4
285,2020-06-18,0-17,88,0,0
286,2020-06-18,18-39,505,3,0
287,2020-06-18,40-64,703,31,3
288,2020-06-18,65+,363,96,4
289,2020-06-19,0-17,89,0,0
290,2020-06-19,18-39,507,3,0
291,2020-06-19,40-64,705,31,3
292,2020-06-19,65+,363,96,4
293,2020-06-20,0-17,90,0,0
294,2020-06-20,18-39,508,3,0
295,2020-06-20,40-64,709,31,3
296,2020-06-20,65+,363,96,4
297,2020-06-21,0-17,91,0,0
298,2020-06-21,18-39,510,3,0
299,2020-06-21,40-64,709,31,3
300,2020-06-21,65+,364,96,4
301,2020-06-22,0-17,92,0,0
302,2020-06-22,18-39,513,3,0
303,2020-06-22,40-64,710,31,3
304,2020-06-22,65+,365,96,4
305,2020-06-23,0-17,94,0,0
306,2020-06-23,18-39,517,3,0
307,2020-06-23,40-64,713,31,4
308,2020-06-23,65+,367,96,3
309,2020-06-24,0-17,94,0,0
310,2020-06-24,18-39,520,3,0
311,2020-06-24,40-64,715,31,4
312,2020-06-24,65+,368,96,3
313,2020-06-25,0-17,94,0,0
314,2020-06-25,18-39,520,3,0
315,2020-06-25,40-64,719,31,4
316,2020-06-25,65+,368,96,3
317,2020-06-26,0-17,95,0,0
318,2020-06-26,18-39,523,3,0
319,2020-06-26,40-64,723,31,5
320,2020-06-26,65+,369,96,3
321,2020-06-27,0-17,96,0,0
322,2020-06-27,18-39,524,3,0
323,2020-06-27,40-64,728,31,5
324,2020-06-27,65+,370,96,3
325,2020-06-28,0-17,96,0,0
326,2020-06-28,18-39,524,3,0
327,2020-06-28,40-64,731,31,4
328,2020-06-28,65+,371,96,3
329,2020-06-29,0-17,99,0,0
330,2020-06-29,18-39,525,3,0
331,2020-06-29,40-64,732,31,4
332,2020-06-29,65+,372,96,3
333,2020-06-30,0-17,99,0,0
334,2020-06-30,18-39,526,3,0
335,2020-06-30,40-64,736,31,4
336,2020-06-30,65+,374,97,2
337,2020-07-01,0-17,99,0,0
338,2020-07-01,18-39,531,3,0
339,2020-07-01,40-64,743,31,4
340,2020-07-01,65+,375,97,1
341,2020-07-02,0-17,98,0,0
342,2020-07-02,18-39,538,3,0
343,2020-07-02,40-64,750,31,3
344,2020-07-02,65+,376,97,1
345,2020-07-03,0-17,98,0,0
346,2020-07-03,18-39,541,3,0
347,2020-07-03,40-64,750,31,3
348,2020-07-03,65+,379,97,1
349,2020-07-04,0-17,100,0,0
350,2020-07-04,18-39,546,3,0
351,2020-07-04,40-64,754,31,5
352,2020-07-04,65+,382,97,2
353,2020-07-05,0-17,101,0,0
354,2020-07-05,18-39,547,3,0
355,2020-07-05,40-64,754,31,5
356,2020-07-05,65+,382,97,2
357,2020-07-06,0-17,101,0,0
358,2020-07-06,18-39,550,3,0
359,2020-07-06,40-64,759,31,6
360,2020-07-06,65+,387,97,1
361,2020-07-07,0-17,103,0,0
362,2020-07-07,18-39,555,3,0
363,2020-07-07,40-64,767,31,6
364,2020-07-07,65+,387,97,1
365,2020-07-08,0-17,104,0,0
366,2020-07-08,18-39,559,3,0
367,2020-07-08,40-64,773,31,5
368,2020-07-08,65+,390,97,1
369,2020-07-09,0-17,104,0,0
370,2020-07-09,18-39,573,3,0
371,2020-07-09,40-64,779,31,5
372,2020-07-09,65+,393,97,1
373,2020-07-10,0-17,106,0,0
374,2020-07-10,18-39,586,3,0
375,2020-07-10,40-64,794,31,5
376,2020-07-10,65+,393,97,1
377,2020-07-11,0-17,107,0,0
378,2020-07-11,18-39,590,3,0
379,2020-07-11,40-64,799,31,5
380,2020-07-11,65+,395,97,1
381,2020-07-12,0-17,109,0,0
382,2020-07-12,18-39,597,3,1
383,2020-07-12,40-64,805,31,5
384,2020-07-12,65+,399,97,1
385,2020-07-13,0-17,110,0,0
386,2020-07-13,18-39,601,3,2
387,2020-07-13,40-64,811,31,5
388,2020-07-13,65+,402,97,2
389,2020-07-14,0-17,116,0,0
390,2020-07-14,18-39,617,3,2
391,2020-07-14,40-64,818,31,6
392,2020-07-14,65+,405,97,2
393,2020-07-15,0-17,118,0,0
394,2020-07-15,18-39,620,3,2
395,2020-07-15,40-64,825,31,6
396,2020-07-15,65+,407,97,2
397,2020-07-16,0-17,120,0,0
398,2020-07-16,18-39,631,3,2
399,2020-07-16,40-64,840,31,7
400,2020-07-16,65+,409,97,2
401,2020-07-17,0-17,120,0,0
402,2020-07-17,18-39,637,3,2
403,2020-07-17,40-64,849,31,7
404,2020-07-17,65+,413,97,2
405,2020-07-18,0-17,123,0,0
406,2020-07-18,18-39,638,3,2
407,2020-07-18,40-64,852,31,7
408,2020-07-18,65+,414,97,2
409,2020-07-19,0-17,123,0,0
410,2020-07-19,18-39,641,3,2
411,2020-07-19,40-64,856,31,7
412,2020-07-19,65+,415,97,3
413,2020-07-20,0-17,124,0,0
414,2020-07-20,18-39,642,3,2
415,2020-07-20,40-64,859,31,6
416,2020-07-20,65+,415,98,2
417,2020-07-21,0-17,125,0,0
418,2020-07-21,18-39,646,3,1
419,2020-07-21,40-64,863,31,6
420,2020-07-21,65+,420,99,1
421,2020-07-22,0-17,125,0,0
422,2020-07-22,18-39,648,3,1
423,2020-07-22,40-64,870,31,5
424,2020-07-22,65+,422,101,2
425,2020-07-23,0-17,127,0,0
426,2020-07-23,18-39,654,3,1
427,2020-07-23,40-64,880,31,4
428,2020-07-23,65+,426,101,2
429,2020-07-24,0-17,127,0,0
430,2020-07-24,18-39,659,3,1
431,2020-07-24,40-64,889,31,4
