id,date,region_gr,region_en,region_id,population,color,cases,deaths,recovered,active,tests,daytotal,totaldose1,totaldose2,totaldose3,vaccinations_total,vaccrate,vaccrate2,newvacc1rate,newvacc2rate,posrate,rj_value,casesweek100k,casesfortnight100k
1,2020-07-04,"Άγιο Όρος","Mount Athos",8,2262,less25,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0
2,2020-07-04,Αιτωλοακαρνανίας,Aetolia-Acarnania,13,210802,less25,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0
3,2020-07-04,"Αν. Αττικής","East Attica",17,502348,less25,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0
4,2020-07-04,Άνδρου,Andros,11,9221,less25,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0
5,2020-07-04,Αργολίδας,Argolis,10,97044,less25,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0
6,2020-07-04,Αρκαδίας,Arcadia,10,86685,less25,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0
7,2020-07-04,Άρτας,Arta,6,67877,less25,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0
8,2020-07-04,Αττικής,"Athens Prefecture",1,3961638,less25,2,0,0,0,0,0,0,0,0,0,,,,,,1,1,1
9,2020-07-04,Αχαΐας,Achaea,13,310298,less25,1,0,0,0,0,0,0,0,0,0,,,,,,0,0,0
10,2020-07-04,Βοιωτίας,Boeotia,2,117920,less25,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0
11,2020-07-04,"Βορ. Τομ. Αθηνών","North Athens Regional Unit",18,592490,less25,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0
12,2020-07-04,Γρεβενών,Grevena,14,31757,less25,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0
13,2020-07-04,Δράμας,Drama,5,98287,less25,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0
14,2020-07-04,"Δυτ. Αττικής","West Attica",19,160927,less25,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0
15,2020-07-04,"Δυτ. Τομ Αθηνών","West Athens Regional Unit",20,489675,less25,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0
16,2020-07-04,Έβρου,Evros,5,147530,less25,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0
17,2020-07-04,Εύβοιας,Euboea,2,210815,less25,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0
18,2020-07-04,Ευρυτανίας,Evrytania,2,20081,less25,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0
19,2020-07-04,Ζακύνθου,Zakynthos,7,40759,less25,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0
20,2020-07-04,Ηλείας,Elis,13,159300,less25,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0
21,2020-07-04,Ημαθίας,Imathia,3,140611,less25,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0
22,2020-07-04,Ηρακλείου,Heraklion,4,305490,less25,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0
23,2020-07-04,Θάσου,Thasos,5,13770,less25,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0
24,2020-07-04,Θεσπρωτίας,Thesprotia,6,43587,less25,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0
25,2020-07-04,Θεσσαλονίκης,Thessaloniki,3,1110551,less25,1,0,0,0,0,0,0,0,0,0,,,,,,0.75,1,1
26,2020-07-04,Θήρας,Santorini,11,18883,less25,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0
27,2020-07-04,Ιθάκης,Ithaca,7,3231,less25,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0
28,2020-07-04,Ικαρίας,Icaria,9,9882,less25,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0
29,2020-07-04,Ιωαννίνων,Ioannina,6,167901,less25,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0
30,2020-07-04,Καβάλας,Kavala,5,124917,less25,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0
31,2020-07-04,Καλύμνου,Kalymnos,11,29452,less25,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0
32,2020-07-04,Καρδίτσας,Karditsa,12,113544,less25,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0
33,2020-07-04,Καρπάθου-Κάσου,Karpathos-Kasos,11,7310,less25,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0
