id,date,region_id,region_gr,region_en,new_claims,total_unemployed
1,2020-01-01,0,"Ανατολική Μακεδονία & Θράκη","Eastern Macedonia and Thrace",1624,56678
2,2020-01-01,1,Αττική,Attica,9735,338118
3,2020-01-01,2,"Βόρειο Αιγαίο","North Aegean",473,16977
4,2020-01-01,3,"Δυτική Ελλάδα","Western Greece",1451,75981
5,2020-01-01,4,"Δυτική Μακεδονία","Western Macedonia",960,28897
6,2020-01-01,5,Ήπειρος,Epirus,1017,30327
7,2020-01-01,6,Θεσσαλία,Thessaly,2063,69770
8,2020-01-01,7,"Ιόνια Νησιά","Ionian Islands",1064,34007
9,2020-01-01,8,"Κεντρική Μακεδονία","Central Macedonia",6001,205767
10,2020-01-01,9,Κρήτη,Crete,2662,75066
11,2020-01-01,10,"Νότιο Αιγαίο","South Aegean",1791,53949
12,2020-01-01,11,Πελοπόννησος,Peloponnese,1437,44372
13,2020-01-01,12,"Στερεά Ελλάδα","Central Greece",1428,46225
14,2020-02-01,0,"Ανατολική Μακεδονία & Θράκη","Eastern Macedonia and Thrace",1238,56106
15,2020-02-01,1,Αττική,Attica,7794,338939
16,2020-02-01,2,"Βόρειο Αιγαίο","North Aegean",620,17212
17,2020-02-01,3,"Δυτική Ελλάδα","Western Greece",1456,75917
18,2020-02-01,4,"Δυτική Μακεδονία","Western Macedonia",833,29033
19,2020-02-01,5,Ήπειρος,Epirus,812,30183
20,2020-02-01,6,Θεσσαλία,Thessaly,1478,69357
21,2020-02-01,7,"Ιόνια Νησιά","Ionian Islands",591,32793
22,2020-02-01,8,"Κεντρική Μακεδονία","Central Macedonia",5013,204896
23,2020-02-01,9,Κρήτη,Crete,1440,73179
24,2020-02-01,10,"Νότιο Αιγαίο","South Aegean",853,52120
25,2020-02-01,11,Πελοπόννησος,Peloponnese,1060,43695
26,2020-02-01,12,"Στερεά Ελλάδα","Central Greece",961,45855
27,2020-03-01,0,"Ανατολική Μακεδονία & Θράκη","Eastern Macedonia and Thrace",1319,55894
28,2020-03-01,1,Αττική,Attica,8766,341758
29,2020-03-01,2,"Βόρειο Αιγαίο","North Aegean",392,17292
30,2020-03-01,3,"Δυτική Ελλάδα","Western Greece",1672,76387
31,2020-03-01,4,"Δυτική Μακεδονία","Western Macedonia",697,29247
32,2020-03-01,5,Ήπειρος,Epirus,815,30425
33,2020-03-01,6,Θεσσαλία,Thessaly,1454,69531
34,2020-03-01,7,"Ιόνια Νησιά","Ionian Islands",661,32369
35,2020-03-01,8,"Κεντρική Μακεδονία","Central Macedonia",4435,204912
36,2020-03-01,9,Κρήτη,Crete,1906,72701
37,2020-03-01,10,"Νότιο Αιγαίο","South Aegean",838,50832
38,2020-03-01,11,Πελοπόννησος,Peloponnese,1642,44418
39,2020-03-01,12,"Στερεά Ελλάδα","Central Greece",985,45643
40,2020-04-01,0,"Ανατολική Μακεδονία & Θράκη","Eastern Macedonia and Thrace",3227,57938
41,2020-04-01,1,Αττική,Attica,24449,360871
42,2020-04-01,2,"Βόρειο Αιγαίο","North Aegean",889,17948
43,2020-04-01,3,"Δυτική Ελλάδα","Western Greece",4759,79617
44,2020-04-01,4,"Δυτική Μακεδονία","Western Macedonia",1983,30523
