YearWeekISO,ReportingCountry,Denominator,NumberDosesReceived,NumberDosesExported,FirstDose,FirstDoseRefused,SecondDose,DoseAdditional1,DoseAdditional2,DoseAdditional3,DoseAdditional4,DoseAdditional5,UnknownDose,Region,TargetGroup,Vaccine,Population
2022-W22,EL,8711062,0,0,0,0,0,0,0,0,0,0,0,EL,ALL,COMBA.4-,10459782
2022-W22,EL,3069731,0,0,0,0,0,0,0,0,0,0,0,EL,1_Age60+,COMBA.4-,10459782
2022-W22,EL,1748720,0,0,0,0,0,0,0,0,0,0,0,EL,Age<18,COMBA.4-,10459782
2022-W22,EL,553606,0,0,0,0,0,0,0,0,0,0,0,EL,Age10_14,COMBA.4-,10459782
2022-W23,EL,274955,0,0,20,0,27,108,153,0,0,0,0,EL,HCW,COM,10459782
2022-W23,EL,0,0,0,0,0,0,0,0,0,0,0,0,EL,AgeUNK,COM,10459782
2021-W38,EL,461955,0,0,0,0,0,0,0,0,0,0,0,EL,Age0_4,JANSS,10678632
2021-W38,EL,317000,0,0,1,0,0,0,0,0,0,0,0,EL,Age15_17,JANSS,10678632
2021-W38,EL,5641331,0,0,0,0,0,0,0,0,0,0,0,EL,1_Age<60,NVXD,10678632
2021-W38,EL,730902,0,0,0,0,0,0,0,0,0,0,0,EL,Age18_24,NVXD,10678632
2021-W38,EL,1321765,0,0,0,0,0,0,0,0,0,0,0,EL,Age60_69,NVXD,10678632
2021-W38,EL,8711062,0,0,0,0,0,0,0,0,0,0,0,EL,ALL,COMBA.1,10678632
2021-W38,EL,3069731,0,0,0,0,0,0,0,0,0,0,0,EL,1_Age60+,COMBA.1,10678632
2021-W38,EL,3366902,0,0,0,0,0,0,0,0,0,0,0,EL,Age25_49,COMBA.1,10678632
2022-W23,EL,1543527,0,0,51,0,89,538,179,0,0,0,0,EL,Age50_59,COM,10459782
2022-W23,EL,317000,0,0,43,0,51,51,0,0,0,0,0,EL,Age15_17,COM,10459782
2022-W23,EL,5641331,0,0,1,0,3,12,6,0,0,0,0,EL,1_Age<60,MOD,10459782
2022-W23,EL,730902,0,0,0,0,0,0,0,0,0,0,0,EL,Age18_24,MOD,10459782
2022-W23,EL,1321765,0,0,0,0,1,3,41,0,0,0,0,EL,Age60_69,MOD,10459782
2022-W23,EL,1748720,0,0,0,0,0,0,0,0,0,0,0,EL,Age<18,MOD,10459782
2022-W23,EL,3069731,0,0,0,0,0,2,0,0,0,0,0,EL,1_Age60+,AZ,10459782
2022-W23,EL,3366902,0,0,0,0,0,0,0,0,0,0,0,EL,Age25_49,AZ,10459782
2022-W23,EL,993883,0,0,0,0,0,2,0,0,0,0,0,EL,Age70_79,AZ,10459782
2022-W23,EL,461955,0,0,0,0,0,0,0,0,0,0,0,EL,Age0_4,AZ,10459782
2022-W23,EL,317000,0,0,0,0,0,0,0,0,0,0,0,EL,Age15_17,AZ,10459782
2022-W23,EL,5641331,0,0,102,0,0,106,0,0,0,0,0,EL,1_Age<60,JANSS,10459782
2021-W39,EL,317000,0,0,7,0,587,0,0,0,0,0,0,EL,Age15_17,MOD,10678632
2021-W39,EL,5641331,0,0,25,0,474,4,0,0,0,0,0,EL,1_Age<60,AZ,10678632
2022-W23,EL,754083,0,0,7,0,0,10,3,0,0,0,0,EL,Age80+,JANSS,10459782
2022-W23,EL,511958,0,0,0,0,0,0,0,0,0,0,0,EL,Age5_9,JANSS,10459782
2022-W23,EL,8711062,0,0,46,0,28,0,0,0,0,0,0,EL,ALL,NVXD,10459782
2022-W23,EL,3069731,0,0,9,0,3,0,0,0,0,0,0,EL,1_Age60+,NVXD,10459782
2022-W23,EL,3366902,0,0,24,0,12,0,0,0,0,0,0,EL,Age25_49,NVXD,10459782
2022-W23,EL,553606,0,0,0,0,0,0,0,0,0,0,0,EL,Age10_14,NVXD,10459782
2021-W39,EL,461955,0,0,0,0,0,0,0,0,0,0,0,EL,Age0_4,JANSS,10678632
2021-W39,EL,317000,0,0,1,0,0,0,0,0,0,0,0,EL,Age15_17,JANSS,10678632
2021-W39,EL,5641331,0,0,0,0,0,0,0,0,0,0,0,EL,1_Age<60,NVXD,10678632
2021-W39,EL,754083,0,0,0,0,0,0,0,0,0,0,0,EL,Age80+,NVXD,10678632
2021-W39,EL,511958,0,0,0,0,0,0,0,0,0,0,0,EL,Age5_9,NVXD,10678632
2021-W39,EL,8711062,0,0,0,0,0,0,0,0,0,0,0,EL,ALL,COMBA.1,10678632
2021-W39,EL,3069731,0,0,0,0,0,0,0,0,0,0,0,EL,1_Age60+,COMBA.1,10678632
2021-W39,EL,3366902,0,0,0,0,0,0,0,0,0,0,0,EL,Age25_49,COMBA.1,10678632
2022-W23,EL,274955,0,0,0,0,0,0,0,0,0,0,0,EL,HCW,COMBA.1,10459782
2022-W23,EL,0,0,0,0,0,0,0,0,0,0,0,0,EL,AgeUNK,COMBA.1,10459782
2022-W23,EL,1543527,0,0,0,0,0,0,0,0,0,0,0,EL,Age50_59,COMBA.1,10459782
2022-W23,EL,754083,0,0,0,0,0,0,0,0,0,0,0,EL,Age80+,COMBA.1,10459782
2022-W23,EL,5641331,0,0,0,0,0,0,0,0,0,0,0,EL,1_Age<60,COMBA.4-,10459782
2021-W40,EL,5641331,0,0,26833,0,68214,15508,3,0,0,0,0,EL,1_Age<60,COM,10678632
